osm_type,osm_id,latitude,longitude,industrial,landuse,power,man_made,building,product,plant_source,plant_method,resource,description,source_file
node,8324814188,10.6724364,76.1914318,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8327991289,10.6372729,76.130401,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8329526260,9.9544229,76.327125,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8410949311,9.7867626,76.4447956,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8442078444,9.6235217,76.6036357,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,8442078445,9.6253404,76.6034655,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,8569175395,9.6221072,76.6042617,scrap_yard,,,,,,,,,,industrial-types.osm.pbf
node,8708936388,11.2444745,76.2035414,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8832674838,9.9466785,76.3942627,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8848285226,10.3416994,76.2623639,grinding_mill,industrial,,,,,,,,,industrial-types.osm.pbf
node,8865510427,9.2063563,76.5206133,grinding_mill,,,,,,,,,,industrial-types.osm.pbf
node,8869440786,9.367232,76.8505073,grinding_mill,,,works,,flour,,,,,industrial-types.osm.pbf
node,8895402427,8.989248,76.7762701,food_industry,,,works,,food,,,,,industrial-types.osm.pbf
node,8897230302,9.6080695,77.1698341,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,8948395630,9.6111718,76.537024,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,9460577182,17.5769716,78.3923266,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,9529456967,10.7569232,75.9295966,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,9627168424,17.3884523,78.5200539,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,9779380714,11.1934636,76.239416,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,9830410935,9.9279861,76.7090204,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,10262214502,17.9197381,79.8974687,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,10716717343,10.5102568,76.258175,machine_shop,,,works,,furniture,,,,,industrial-types.osm.pbf
node,10960124162,25.4641122,81.8681275,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,11031707797,16.3580052,80.4015425,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,11031709940,16.3576459,80.4016643,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,11031709945,16.3576721,80.4021382,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,11058908888,9.9422615,76.3002494,rice_mill,,,,,,,,,,industrial-types.osm.pbf
node,11106924991,30.1404174,76.2179156,brickyard,,,,,,,,,,industrial-types.osm.pbf
node,11166342045,21.5198623,70.4410661,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,11178091266,12.9586777,77.566693,warehouse,,,,,,,,,,industrial-types.osm.pbf
node,11178142854,12.9586376,77.5660323,warehouse,,,,,,,,,Wires and cables godown,industrial-types.osm.pbf
node,11199503651,11.8121,75.4508675,grinding_mill,,,,,,,,,,industrial-types.osm.pbf
node,11219234233,11.2322799,76.053772,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,11242142974,28.5346466,77.1700174,depot,,,,,,,,,,industrial-types.osm.pbf
node,11371291133,11.7912798,77.800421,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,11383342178,8.3891511,76.9983282,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,11485653809,17.144801,78.9024009,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
